시도명,시군구명,업태,주메뉴,업소명,주소,전화번호 
경기도,남양주시,한식,소갈비. 돼지갈비. 게장,산과들가든,경기도 남양주시 와부읍 궁촌로 35,031-577-9123
경기도,남양주시,한식,구이류,30년전통옥수돼지숯불갈비,경기도 남양주시 와부읍 수레로1번길 7,031-521-9292
경기도,남양주시,중식,중식,회빈,경기도 남양주시 도농로 29.  207.  213호 (도농동.  부영프라자),031-567-8255
경기도,남양주시,한식,능이버섯불고기,이대감버섯생고기,경기도 남양주시 진건읍 진건오남로 229,031-527-7434
경기도,남양주시,한식,국밥. 등심모듬,(주)우렁찬한우명품,경기도 남양주시 고산로 180-1 (삼패동),031-577-8833
경기도,남양주시,양식,스테이크. 돈까스,쟈스민,경기도 남양주시 오남읍 팔현로 91,031-527-2772
경기도,남양주시,한식,육개장,육대장,경기도 남양주시 진접읍 금강로 1545 (1층),031-528-5740
경기도,남양주시,한식,유기농가마솥밥,더만족해(The 만족해),경기도 남양주시 평내로29번길 41.  206호 (평내동.  메인프라자),031-593-7885
경기도,남양주시,한식,두부요리,두부마을,경기도 남양주시 평내로 13 (평내동),031-559-2698
경기도,남양주시,한식,유기농쌈밥. 구이류,배갈비.  태릉배갈비,경기도 남양주시 경춘로 1023 (금곡동),031-559-8588
경기도,남양주시,한식,보리밥,외할머니집(남양주점),경기도 남양주시 경춘로 765 (일패동),031-595-2303
경기도,남양주시,한식,코다리찜,자성화맛집코다리조림전문점,경기도 남양주시 진접읍 금강로 1821.  1층,031-573-9592
경기도,남양주시,한식,추어탕,논골추어탕,경기도 남양주시 화도읍 묵현로 66-22,031-591-5988
경기도,남양주시,한식,닭갈비,닭이봉진미춘천닭갈비,경기도 남양주시 늘을2로 26 (호평동. 메인시네마타워210호),031-559-9417
경기도,남양주시,한식,구이류,한마루,경기도 남양주시 화도읍 마석로17번길 35-11,031-591-6400
경기도,남양주시,한식,돼지왕갈비,마지촌덕소점,경기도 남양주시 와부읍 석실로 185-17,031-567-8333
경기도,남양주시,한식,샤브샤브,쌈촌(평내점),경기도 남양주시 평내로29번길 49.  207. 208호 (평내동.  엠투프라자),031-511-7991
경기도,남양주시,양식,양식,가든갤러리,경기도 남양주시 강변북로632번길 57-28 (수석동),031-566-7777
경기도,남양주시,한식,갈비,아리랑갈비,경기도 남양주시 의안로240번길 1-1 (평내동),031-511-3777
경기도,남양주시,한식,칼국수,최고집칼국수,경기도 남양주시 경춘로 414-10 (도농동),031-553-7080
경기도,남양주시,한식,갈비탕,곽만근갈비탕(평내점),경기도 남양주시 경춘로1350번길 36 (평내동),031-595-0282
경기도,남양주시,한식,돼지갈비,풍경,경기도 남양주시 와부읍 수레로 162 (1252-20),031-576-1678
경기도,남양주시,한식,한정. 갑오징어,옹기종기,경기도 남양주시 와부읍 수레로 191,031-576-5588
경기도,남양주시,한식,오리구리장작구이. 산꼼장어,압소담,경기도 남양주시 강변북로632번길 13 (수석동),031-528-5290
경기도,남양주시,한식,삼계탕,웅추한방삼계탕동구밖과수원집,경기도 남양주시 홍유릉로325번길 19 (금곡동. 외1필지),031-592-5656
경기도,남양주시,한식,구이류,두꺼비,경기도 남양주시 와부읍 월문천로173번길 8,031-576-5104
경기도,남양주시,한식,능이버섯백숙. 삼계탕,나능이,경기도 남양주시 경춘로1015번길 3 (금곡동. 외2필지),031-593-2881
경기도,남양주시,한식,갈비탕,곽만근갈비탕(덕소점),경기도 남양주시 와부읍 덕소로97번길 25,031-521-5615
경기도,남양주시,한식,곤드레밥,고운님오셨네,경기도 남양주시 와부읍 수레로 457,031-577-2070
경기도,남양주시,한식,능이버섯백숙,굴뚝능이버섯백숙,경기도 남양주시 호평로46번안길 8-4.  1층 (호평동),031-554-3311
경기도,남양주시,양식,돈까스,돈까스클럽,경기도 남양주시 고산로 196-1 (삼패동),031-521-3739
경기도,남양주시,한식,구이류,한다리 이향갈비,경기도 남양주시 진접읍 양진로1020번길 36 (외1필지 1층),031-571-4455
경기도,남양주시,한식,삼겹살,꿀꿀이삼형제,경기도 남양주시 진접읍 해밀예당3로 61 (중앙프라자 201호),031-528-6002
경기도,남양주시,한식,백숙,참능이,경기도 남양주시 늘을1로 282 (호평동),031-592-0560
경기도,남양주시,한식,오리구이,마음의고향,경기도 남양주시 와부읍 궁촌로 167-7 (외1필지),031-577-6303
경기도,남양주시,한식,쌈밥,풀향기쌈밥,경기도 남양주시 화도읍 경춘로 2118,031-591-4835
경기도,남양주시,한식,칼국수,강가네칼국수,경기도 남양주시 화도읍 수레로 1171-5,031-593-5311
경기도,남양주시,한식,갈비,평창갈비(평내점),경기도 남양주시 늘을1로16번길 15 (호평동. (1.2.3층)),031-594-9944
경기도,남양주시,양식,돈까스,돈까스클럽,경기도 남양주시 화도읍 답내리 186,031-594-7157
경기도,남양주시,한식,닭갈비,춘천골닭갈비,경기도 남양주시 도농로 24 (도농동. 부영애시앙상가동 사랑관156호),031-562-4609
경기도,남양주시,한식,버섯불고기,버섯샤브나라,경기도 남양주시 진접읍 장현로 167 (2층),031-528-8979
경기도,남양주시,한식,샤브샤브,남북통일,경기도 남양주시 진접읍 부평로 33-31 ((1층)),031-528-3727
경기도,남양주시,한식,갈비류,수목원숯불오리,경기도 남양주시 진접읍 광릉수목원로 150-13,031-553-7000
경기도,남양주시,한식,두부전골,은행나무가든,경기도 남양주시 수동면 축령산로 212-5 (외 1필지 1층),031-553-8200
경기도,남양주시,한식,흑돈생삼겹살. 가마솥해장국,백봉꿀갈비,경기도 남양주시 와부읍 수레로 533-18,031-576-5868
경기도,남양주시,양식,스파게티. 스테이크,가든갤러리 호평점,경기도 남양주시 천마산로 2.  2층 (호평동),031-559-3884
경기도,남양주시,한식,설렁탕,감미옥 설렁탕,경기도 남양주시 진접읍 금강로 1609 (외4필지),031-575-2482
경기도,남양주시,한식,구이류,아라한,경기도 남양주시 진건읍 양진로 396-1.  1층,031-573-5742
경기도,남양주시,한식,구이류,광릉정육식당,경기도 남양주시 진접읍 금강로 1597 (제2동(1층)),031-529-9988
경기도,남양주시,한식,생선구이,주문진 생선구이찌개,경기도 남양주시 오남읍 양지로 56,031-528-9250
경기도,남양주시,한식,갈비탕,곽만근갈비탕오남점,경기도 남양주시 오남읍 진건오남로 566.  제1동 105호 (오남상가),031-575-6898
경기도,남양주시,한식,구이류,흑돈연가,경기도 남양주시 오남읍 진건오남로 566.  2동 1층 (오남상가),031-574-9282
경기도,남양주시,한식,만두전골,동강의 향기,경기도 남양주시 강변북로632번길 27-7 (수석동),031-528-0833
경기도,남양주시,뷔페식,뷔페,파티엘하우스,경기도 남양주시 도농로 29.  8층 (도농동.  부영프라자),031-554-5058
경기도,남양주시,한식,삼겹살,부뚜막솥뚜껑삼겹살,경기도 남양주시 화도읍 녹촌로64번길 39,031-559-4233
경기도,남양주시,일식,참치,금도참치,경기도 남양주시 진접읍 진건오남로 1022 (1.2층),031-571-3690
경기도,남양주시,한식,감자탕,조마루감자탕,경기도 남양주시 별내중앙로 55.  1동 201호 (별내동.  예스프라자갤럭시 주건축물),031-573-2005
경기도,남양주시,한식,뼈다귀해장국,원조뼈다귀,경기도 남양주시 덕송2로6번길 16-22.  1층 (별내동),031-528-5709
경기도,남양주시,한식,삼겹살구이,한돈한우생고기,경기도 남양주시 경춘로1256번길 9.  115. 116. 117호 (평내동.  오렌지웰빙타워),031-593-3318
경기도,남양주시,한식,해장국,서울해장국,경기도 남양주시 화도읍 비룡로 382,031-593-5090
경기도,남양주시,한식,설농탕,별내옥설농탕,경기도 남양주시 송산로 294-7 (별내동),031-528-6582
경기도,남양주시,한식,낙지,낙지자랑,경기도 남양주시 경춘로 1333-1 (평내동),031-595-5413
경기도,남양주시,한식,곰탕,창조가든,경기도 남양주시 퇴계원면 퇴계원로199번길 15,031-575-0937
경기도,남양주시,한식,순대국,마석아바이순대,경기도 남양주시 화도읍 비룡로 219.  1층,031-593-9978
경기도,남양주시,중식,짜장면. 짬뽕,만리장성,경기도 남양주시 진건읍 진건오남로 1,031-573-2006
경기도,남양주시,한식,아구찜,해운대,경기도 남양주시 별내5로23번길 14 (별내동),031-572-2307
경기도,남양주시,한식,해장국,별내해장국,경기도 남양주시 두물로27번길 33 (별내동),031-527-3909
경기도,남양주시,중식,짜장. 짬뽕,고구려짬뽕10101남양주점,경기도 남양주시 진접읍 금강로 1551,031-573-0733
경기도,남양주시,한식,콩요리정식,일심본가콩요리,경기도 남양주시 와부읍 경강로926번길 8-21.  1층,031-576-3733
경기도,남양주시,일식,회,행복한바다,경기도 남양주시 화도읍 비룡로141번길 6,031-511-9966
경기도,남양주시,양식,함박스테이크. 스파게티,로드함박,경기도 남양주시 진접읍 금강로 1551.  2층,031-571-7754
경기도,남양주시,한식,돼지갈비,갈비명가풍경,경기도 남양주시 화도읍 경춘로 1896-8,031-593-6878
경기도,남양주시,한식,샤브샤브,꽃마름월남쌈샤브샤브까페,경기도 남양주시 화도읍 맷돌로 36,031-593-3939
경기도,남양주시,한식,육계장,육대장별내점,경기도 남양주시 불암로109번길 4-18 (별내동.  프라임타워 101. 102. 103. 104호),031-529-8448
경기도,남양주시,뷔페식,뷔페,마루샤브도농/구리점,경기도 남양주시 경춘로 426.  1층 (도농동),013-551-8080
경기도,남양주시,뷔페식,뷔페,오월뷔페,경기도 남양주시 화도읍 경춘로 1896-8.  2층 (오월빌딩 2동),031-511-6668
경기도,남양주시,한식,소머리국밥,주식가,경기도 남양주시 퇴계원면 경춘북로520번길 4.  1층,031-571-6616
경기도,남양주시,한식,구이류,엔케이(NK) 웰빙가든,경기도 남양주시 와부읍 덕소로 353-89,031-521-7334
경기도,남양주시,한식,돼지갈비,해마루숯불갈비,경기도 남양주시 진접읍 봉현로13번길 16.  가동 1층 (좌측1호. 2호. 3호),031-527-2934
경기도,남양주시,한식,갈비류,덕고개갈비,경기도 남양주시 진접읍 경복대로 420.  2층,031-575-8173
경기도,남양주시,중식,짬뽕. 탕수육,수타의제왕,경기도 남양주시 오남읍 진건오남로 570.  1층,031-571-5980
경기도,남양주시,한식,갈비탕,남양주축협한우명가,경기도 남양주시 화도읍 창현로 47-1.  2층,031-511-8892
경기도,남양주시,한식,함흥냉면,별앤(&),경기도 남양주시 두물로39번길 49.  1층 (별내동),031-529-1211
경기도,남양주시,한식,약초닭백숙,심마니산약초백숙,경기도 남양주시 와부읍 도심길 32-96,031-576-6000
경기도,남양주시,양식,돈까스,돈까스클럽(진접점),경기도 남양주시 진접읍 해밀예당1로 8-12.  1층,031-528-7028
경기도,남양주시,뷔페식,뷔페,주)가인채덕소점,경기도 남양주시 와부읍 월문천로 33.  2층 (롯데마트덕소점),031-521-5491
경기도,남양주시,한식,해물닭찜. 매운갈비찜,칠오구의집,경기도 남양주시 두물로39번길 36.  1층 (별내동),031-573-1759
경기도,남양주시,뷔페식,뷔페,쿠우쿠우평내호평점,경기도 남양주시 늘을2로 32.  801호. 802호 (호평동.  호평프라자),031-511-6275
경기도,남양주시,뷔페식,뷔페,가인채 진접점,경기도 남양주시 진접읍 금강로 1447 (홈플러스진접점 지하1층 일부),031-573-8030
경기도,남양주시,한식,한우등심,고기의잔치 별내점,경기도 남양주시 두물로27번길 37.  1층 102.103호 (별내동.  초원타워),031-571-3888
경기도,남양주시,한식,해물탕. 아구찜,생생해물찜(진접점),경기도 남양주시 진접읍 해밀예당1로190번길 28-11,031-574-2837
경기도,남양주시,한식,족발,청와삼대,경기도 남양주시 불암로 25-17.  1층 (별내동),031-528-0338
경기도,남양주시,한식,돼지갈비. 등심,평창갈비,경기도 남양주시 의안로 215.  1. 2. 3. 4층 (평내동),031-592-4501
경기도,남양주시,한식,이야기정식,청원,경기도 남양주시 화도읍 경춘로 1773.  1층,031-511-8879
경기도,남양주시,한식,소갈비살,(주)우당,경기도 남양주시 진접읍 장현로 167.  가동 (1층전부),031-574-9293
경기도,남양주시,한식,추어탕,추오정남원추어탕,경기도 남양주시 화도읍 묵현로 1,031-559-0074
경기도,남양주시,양식,양식,쉐프의하늘정원,경기도 남양주시 와부읍 경강로849번길 19,031-521-7777
경기도,남양주시,한식,족발. 보쌈,개미들의백년족발소라속쭈꾸미,경기도 남양주시 호평로35번길 19.  1층 (호평동),031-559-6868
경기도,남양주시,한식,쌈밥정식. 보쌈정식,푸드를사랑하는사람들의 낙원,경기도 남양주시 진접읍 금강로1576번길 7.  1층 102. 103호,031-593-2881
경기도,남양주시,한식,곤드레밥. 청국장,산채향기,경기도 남양주시 불암로 317.  1층.  2층 (별내동),031-528-8155
경기도,남양주시,한식,보쌈. 족발,박경규항아리보쌈덕소점,경기도 남양주시 와부읍 수레로116번길 40,031-521-5400
경기도,남양주시,한식,숯불고기,금산포숯불고기,경기도 남양주시 진접읍 해밀예당1로235번길 7.  1층,031-529-1901
경기도,남양주시,한식,삼겹살. 돼지갈비,마루벌돌구이,경기도 남양주시 화도읍 비룡로 145.  1층,031-511-9226
경기도,남양주시,한식,등심. 돼지갈비,석정,경기도 남양주시 화도읍 수레로 1105-41.  1층,031-595-9233
경기도,남양주시,한식,한우구이,뚜레,경기도 남양주시 화도읍 마치로 315,031-593-8980
경기도,남양주시,뷔페식,뷔페,쿠우쿠우 별내직영점,경기도 남양주시 별내중앙로 34 (별내동.  로뎀타워9층 일부),031-574-6274
경기도,남양주시,한식,갈비구이,수원성,경기도 남양주시 송산로339번길 40.  1층 (별내동),031-552-3355
경기도,남양주시,한식,육개장,이화수전통육개장(다산신도시점),경기도 남양주시 미금로65번길 21 (도농동),031-567-8700
경기도,남양주시,한식,나능이버섯백숙,나능이버섯백숙,경기도 남양주시 양정로 5.  1동 (일패동),031-594-9959
경기도,남양주시,한식,오리구이,하루덕,경기도 남양주시 진접읍 장현천로76번길 4.  1층,031-572-9252
경기도,남양주시,한식,돼지갈비,맷돌36숯불갈비,경기도 남양주시 화도읍 맷돌로 36,031-593-1511
