업소명,업태명,도로명주소,전화번호,주메뉴,데이터기준일
만나정,한식,서울특별시 광진구 능동로 254 (능동),02-455-6020,삼계탕,2019-02-21
삼대불고기냉면,한식,서울특별시 광진구 천호대로 675 (구의동),02-444-7292,불고기냉면,2019-02-21
함흥본가면옥,한식,"서울특별시 광진구 광나루로 456 (화양동,,25)",02-447-8806,냉면,2019-02-21
민속손국시,분식,서울특별시 광진구 아차산로 458 (구의동),02-444-7833,칼국수,2019-02-21
대갈집,한식,서울특별시 광진구 능동로 49 (자양동),02-463-2702,갈비,2019-02-21
도선,중국식,"서울특별시 광진구 강변역로 50 (구의동,지하1층)",02-458-9990,자장면,2019-02-21
아웃백 스테이크하우스 어린이대공원점,경양식,"서울특별시 광진구 광나루로 410 (화양동,KCC파크타운 2층)",02-3436-2691,스테이크,2019-02-21
코바코,분식,"서울특별시 광진구 강변역로4길 10 (구의동,(103호))",02-444-7893,돈가스,2019-02-21
큰맘할매순대국,한식,"서울특별시 광진구 아차산로 451 (구의동,세림APT 지하1층 5,6호)",02-444-8279,순대국,2019-02-21
미국가주우육면대왕&중화반점,중국식,"서울특별시 광진구 동일로18길 56 (자양동,(2층))",02-6465-8999,우육면,2019-02-21
민벅,경양식,서울특별시 광진구 능동로13길 39 (화양동),02-469-4455,함박스테이크,2019-02-21
옛집,한식,서울특별시 광진구 아차산로76가길 18 (광장동),02-2201-4369,김치찌개,2019-02-21
채선당,한식,"서울특별시 광진구 아차산로 563 (광장동,대한제지B/D 지하2층 B202호)",02-2049-7888,샤브샤브,2019-02-21
광나루남원추어탕,한식,서울특별시 광진구 아차산로76가길 15 (광장동),02-446-8167,추어탕,2019-02-21
심마니유황오리,한식,서울특별시 광진구 긴고랑로 85 (중곡동),02-452-1610,오리구이,2019-02-21
양평해장국,한식,서울특별시 광진구 동일로 402 (중곡동),02-976-6820,해장국,2019-02-21
미스터손두부보쌈,한식,서울특별시 광진구 아차산로 262 (자양동),02-2024-1424,보쌈,2019-02-21
굴다리전주콩나물국밥,한식,서울특별시 광진구 자양로 160 (구의동),02-458-8118,콩나물국밥,2019-02-21
매운향솥,중국식,서울특별시 광진구 동일로18길 61 (자양동),02-468-6388,"마라샹궈, 꿔바로우",2019-02-21
참치야,일식,서울특별시 광진구 자양로43길 47 (중곡동),02-3437-9991,참치회,2019-02-21
채선당,한식,서울특별시 광진구 용마산로 110 (중곡동),02-452-5200,샤브샤브,2019-02-21
옹기생삼겹살,한식,서울특별시 광진구 영화사로 97 (구의동),02-447-3492,삼겹살,2019-02-21
어라연참치&스시,일식,"서울특별시 광진구 천호대로 646 (능동,능동나이스빌딩)",02-457-2337,참치,2019-02-21
광장동 가온,한식,"서울특별시 광진구 아차산로78길 75 (광장동, 현대골든텔 106호)",02-3436-7100,곰국수,2019-02-21
손큰할매순대국,한식,서울특별시 광진구 군자로 86 (군자동),02-465-8769,순대국,2019-02-21
망향비빔국수,한식,"서울특별시 광진구 천호대로 694 (구의동,(1층))",02-454-1357,비빔국수,2019-02-21
군자닭갈비,한식,"서울특별시 광진구 능동로 315, 1층 (중곡동)",02-6245-9888,닭갈비,2019-02-21
투존치킨구의점앤비어,한식,서울특별시 광진구 광나루로56길 29 (구의동),02-444-4473,치킨,2019-02-21
지담정,한식,서울특별시 광진구 능동로37길 10-3 (중곡동),02-2205-3777,"낙지전골, 갈비전골",2019-02-21
은행나무집,한식,서울특별시 광진구 아차산로69길 20 (광장동),02-457-7100,삼계탕,2019-02-21
막회회집,일식,서울특별시 광진구 천호대로 576 (능동),02-0412-6239,막회,2019-02-21
찜집,한식,"서울특별시 광진구 자양번영로 44 (자양동,(1층))",02-446-1149,찜,2019-02-21
니뽕내뽕,중국식,"서울특별시 광진구 동일로20길 60, 1층 (자양동)",02-499-1828,짬뽕,2019-02-21
오늘손칼국수찜,한식,서울특별시 광진구 아차산로 382 (자양동),02-454-3004,"해물찜, 바지락칼국수",2019-02-21
생고기제작소 구의역점,한식,"서울특별시 광진구 아차산로 380 (자양동,1층)",02-6397-9886,소고기,2019-02-21
남원율천추어탕,한식,"서울특별시 광진구 아차산로73길 48 (광장동,(지하1층))",02-549-3066,추어탕,2019-02-21
산울,한식,"서울특별시 광진구 아차산로73길 48, 2층 201호 (광장동)",02-453-2277,곤드레정식,2019-02-21
크래버대게나라,한식,"서울특별시 광진구 워커힐로 3, 1층 (광장동)",02-456-0277,대게정식,2019-02-21
꿀족,한식,"서울특별시 광진구 아차산로31길 20-6 (화양동, 지층,1층)",02-464-8280,"보쌈,족발",2019-02-21
육일관나주곰탕,한식,서울특별시 광진구 아차산로 353-1 (자양동),02-456-1666,곰탕,2019-02-21
팀스쿡,경양식,"서울특별시 광진구 광나루로50길 10, 1층,2층 (구의동)",02-447-0880,"피자,파스타,스테이크",2019-02-21
전주가,한식,"서울특별시 광진구 자양로42길 2, 1층 101호,102호 (구의동)",02-446-8644,콩나물국밥,2019-02-21
쿠우쿠우,일식,"서울특별시 광진구 아차산로 225, 5층 (화양동)",02-466-6274,초밥,2019-02-21
채선당플러스강변역점,한식,"서울특별시 광진구 구의강변로 45, 2층 (구의동)",02-3437-8231,샤브샤브,2019-02-21
세종원,중국식,"서울특별시 광진구 광나루로 373, 1층 (군자동)",02-499-1800,자장면,2019-02-21
미가담,호프/통닭,"서울특별시 광진구 자양로 165, 1층 (구의동)",02-2201-9595,보리밥,2019-02-21
연길왕꼬치,중국식,서울특별시 광진구 동일로18길 86 (자양동),02-463-7741,"양꼬치, 탕수육",2019-02-21
유성집,한식,"서울특별시 광진구 천호대로137길 9, 지하2층 (구의동)",02-454-6999,등심,2019-02-21
송쉐프구의점,중국식,"서울특별시 광진구 아차산로 355, 타워더모스트광진아크로텔 2층 208호 (자양동)",02-446-6000,자장면,2019-02-21
얼땅쟈,중국식,"서울특별시 광진구 동일로18길 68, 1층 (자양동)",02-465-9285,훠궈,2019-02-21
부림정,한식,"서울특별시 광진구 능동로 18, 지하1층 B01-1호 (자양동, 이튼타워리버3차)",02-499-1714,갈비,2019-02-21
원조마포숯불갈비,한식,"서울특별시 광진구 광나루로12길 5, 2층 201호 (화양동)",02-467-9292,숯불갈비,2019-02-21
명가네남원추어탕,한식,"서울특별시 광진구 능동로37길 11, 1층 (중곡동)",02-461-5977,추어탕,2019-02-21
명가,중국식,"서울특별시 광진구 아차산로30길 39, 1층 (자양동)",02-468-6669,양꼬치,2019-02-21
더466키친,한식,"서울특별시 광진구 아차산로 466, 1층 (구의동)",02-466-4669,샌드위치,2019-02-21
정성한줄,한식,"서울특별시 광진구 아차산로 537-17, 1층 17호 (광장동)",02-3437-8254,김밥,2019-02-21
휘야(애간장),한식,"서울특별시 광진구 광장로 51, 1층 (광장동)",,간장게장,2019-02-21
최대감,한식,"서울특별시 광진구 광나루로 345, 1층 (군자동)",02-497-9292,돼지고기구이,2019-02-21
도치,경양식,"서울특별시 광진구 아차산로62길 14-4, 1,2층 (구의동)",,피자,2019-02-21
복만루,중국식,"서울특별시 광진구 아차산로30길 23, 2층 (자양동)",02-499-1685,훠궈,2019-02-21
유키노하나,일식,"서울특별시 광진구 아차산로33길 21-5, 1~3층 (화양동)",02-6085-9512,생선회,2019-02-21
맷돌로만,한식,"서울특별시 광진구 자양로 135, 1층 (자양동)",02-593-1233,두부,2019-02-21
